run,window_nm,best_epoch,cls_resnet,frozen_agg,layer,row_type,n_rows,gamma_0_mean,gamma_1_mean,ratio_mean,gamma_0_p5,gamma_0_p25,gamma_0_p50,gamma_0_p75,gamma_0_p95,gamma_1_p5,gamma_1_p25,gamma_1_p50,gamma_1_p75,gamma_1_p95,ratio_p5,ratio_p25,ratio_p50,ratio_p75,ratio_p95,nbr_mass_biased_mean,nbr_mass_unbiased_mean,nbr_mass_delta_mean,nbr_mass_delta_p50,nbr_share_uniform_mean
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,1,cls,2423696,0.9761371532725887,0.9112941500733094,0.933574697393555,0.9660508789898131,0.9660508789898131,0.9660508789898131,0.9885530946569391,0.9885530946569391,0.9015711376059571,0.9015711376059571,0.9015711376059571,0.9225714271547638,0.9225714271547638,0.9225714271547638,0.9225714271547638,0.9440608762859236,0.9440608762859236,0.9440608762859236,0.24301678621144687,0.1197146294648891,0.1233021567456317,0.1225,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,1,node,25927130,0.9616474858317117,0.9286331959197214,0.965940218110962,0.9225714271547638,0.9440608762859236,0.9660508789898131,0.9660508789898131,0.9885530946569391,0.9015711376059571,0.9225714271547638,0.9225714271547638,0.9440608762859236,0.9660508789898131,0.9225714271547638,0.9440608762859236,0.9660508789898131,0.9885530946569391,1.0115794542598984,0.43266838454039874,0.23621841897548246,0.19644996556498368,0.2025,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,2,cls,2423696,1.0746305588991356,1.143377584302416,1.0639789139232947,1.0592537251772898,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.1350108156723142,1.1614486138403437,1.0592537251772898,1.0592537251772898,1.0592537251772898,1.0592537251772898,1.0592537251772898,0.17770306586596138,0.065407826389169,0.11229523947607115,0.1075,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,2,node,25927130,1.0837844309107731,1.05250458987175,0.97135938616573,1.0592537251772898,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.1091748152624008,1.035142166679343,1.035142166679343,1.0592537251772898,1.0592537251772898,1.0839269140212038,0.9440608762859236,0.9660508789898131,0.9660508789898131,0.9885530946569391,1.0115794542598984,0.4644512716588732,0.2374894070840016,0.22696186457481124,0.2325,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,3,cls,2423696,1.0888278299240977,0.932024170886442,0.8560283803834356,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.0839269140212038,1.1091748152624008,0.9225714271547638,0.9225714271547638,0.9225714271547638,0.9440608762859236,0.9440608762859236,0.8413951416451956,0.8609937521846007,0.8609937521846007,0.8609937521846007,0.8609937521846007,0.21190208555488413,0.09709478853237878,0.11480729702085841,0.1125,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4_frozenagg,10000.0,13,False,True,3,node,25927130,1.108344732796189,0.9556947299101375,0.8626983357177771,1.0592537251772898,1.0839269140212038,1.1091748152624008,1.1350108156723142,1.1614486138403437,0.9225714271547638,0.9440608762859236,0.9660508789898131,0.9660508789898131,0.9885530946569391,0.8222426499470712,0.8413951416451956,0.8609937521846007,0.8810488730080147,0.9015711376059571,0.4353747497032277,0.2333663196040007,0.20200843009925373,0.20750000000000002,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4_resnet4x128,10000.0,7,True,False,0,cls,2423696,3.911832332611084,0.5242000818252563,0.13400371372699738,3.9355007545577725,3.9355007545577725,3.9355007545577725,3.9355007545577725,3.9355007545577725,0.518800038928961,0.518800038928961,0.518800038928961,0.518800038928961,0.518800038928961,0.1333521432163324,0.1333521432163324,0.1333521432163324,0.1333521432163324,0.1333521432163324,0.10959677953039808,0.073722526874186,0.03587425265621208,0.0325,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4_resnet4x128,10000.0,7,True,False,0,node,25927130,8.31897869488971,0.9351957059007963,0.1334096455902069,4.5185594437492265,5.82103217770871,7.328245331389044,10.351421666793431,14.621771744567184,0.26607250597988114,0.518800038928961,0.8413951416451956,1.2161860006463678,2.01836636368156,0.029853826189179603,0.059566214352901034,0.09660508789898131,0.18407720014689563,0.34276778654645046,0.39023502007492655,0.2442575910045412,0.14597742907105052,0.11750000000000001,0.23813424067005273
gnn_lcpn_scratch_gt_L4_H4_resnet4x128,10000.0,7,True,False,1,cls,2423696,7.511512474667597,0.4561181320370307,0.06726727511597137,4.41570447353313,5.95662143529011,7.161434102129027,8.609937521846016,11.614486138403437,0.22130947096056386,0.3198895109691397,0.4120975190973304,0.5432503314924331,0.8413951416451956,0.026001595631652722,0.04027170343254591,0.05688529308438413,0.08222426499470713,0.14288939585111038,0.06069121102710417,0.041690458938519526,0.019000752088548272,0.0125,0.09051883693440424
gnn_lcpn_scratch_gt_L4_H4_resnet4x128,10000.0,7,True,False,1,node,25927130,13.404807718935137,1.5231480173139542,0.16382630216149716,4.120975190973304,7.328245331389044,11.88502227437019,17.988709151287875,27.86121168629772,0.47315125896148075,0.7673614893618194,1.1091748152624008,1.7988709151287874,3.9355007545577725,0.025409727055493065,0.05432503314924331,0.10592537251772886,0.19724227361148533,0.5069907082747045,0.4734077837724297,0.2372630913182817,0.23614469245323688,0.1775,0.23813424067005273
