root_id,cell_type,n_embeddings,n_skeleton_nodes,nearest_median_nm,nearest_p95_nm,nearest_p99_nm,nearest_max_nm,fraction_within_100nm,fraction_within_500nm,fraction_within_1000nm,fraction_finite_radius,embedding_center_x,skeleton_center_x,embedding_center_y,skeleton_center_y,embedding_center_z,skeleton_center_z
864691135774177531,L2IT,4397,52120,64.70441354971467,300.85518695979323,1233.8985231548252,3875.989146938817,0.7161701159881737,0.9667955424152831,0.98408005458267,1.0,935824.0,933347.4375,462704.0,485774.015625,690120.0,686996.21875
864691135774221643,MC,11111,144703,71.86459163767648,252.6472766659715,796.7251225948864,3907.9433499684333,0.6786067860678606,0.982629826298263,0.992979929799298,1.0,746376.0,746352.3125,655160.0,653269.0,793600.0,793054.6875
864691135774307659,L2IT,6710,92679,59.495041822389396,204.022441188682,1368.735979143411,4886.787541981823,0.7755588673621461,0.9782414307004471,0.9852459016393442,1.0,764724.0,765570.1875,492764.0,509000.4375,868940.0,880243.625
864691135777400237,L6IT,5084,60528,67.57600725777766,236.18829906338271,814.7279211205239,5383.721442942169,0.6947285601888277,0.9854445318646735,0.9927222659323367,1.0,1346412.0,1339388.0625,797472.0,807939.28125,895560.0,897656.0625
864691135777789357,L2IT,4407,48879,68.25992945169223,276.1064111871955,1097.2990619307318,4668.577358755823,0.6839119582482415,0.9768550034036759,0.9886544134331745,1.0,772424.0,773448.9375,531784.0,543637.625,816400.0,818993.8125
864691135778290109,PV,9551,107819,80.03885775047017,256.70297037068053,485.6951886476433,4718.608738779631,0.6162705475866401,0.9904722018636792,0.9960213590199979,1.0,772720.0,778642.6875,951968.0,951988.75,908680.0,918103.25
864691135778331232,L6IT,4665,64566,61.82807564124894,230.5592965326577,712.3453234102248,2719.6700842542464,0.7363344051446945,0.9862808145766345,0.9933547695605573,1.0,807104.0,824048.6875,885528.0,884655.125,910760.0,896945.875
864691135778542509,L4IT,3117,39645,64.02639226326906,213.53192638086102,1073.4169748346244,5357.2267261440875,0.7356432467115817,0.9788257940327237,0.9884504331087585,1.0,758584.0,759703.25,702736.0,715124.5625,844080.0,847020.875
864691135778811325,L2IT,5384,60263,69.81851473439903,282.25269845302876,1160.9959949322472,3837.482561035294,0.6684621099554234,0.9777117384843982,0.987555720653789,1.0,756680.0,746440.0,537936.0,549941.25,818120.0,817568.6875
864691135779020221,L4IT,3409,44725,58.42135472153996,201.84752967043343,1211.4270825207554,4075.15577204188,0.7820475212672338,0.9826928718099149,0.988559694925198,1.0,856440.0,856155.1875,669016.0,673851.4375,761360.0,761821.75
864691135779705021,L4IT,4690,63223,58.0040068256155,210.21371269322665,1435.8474344234255,5572.727478603386,0.7831556503198295,0.9739872068230278,0.9818763326226013,1.0,718976.0,717873.125,619528.0,629912.3125,882040.0,886702.875
864691135779716797,L4IT,3638,46405,59.64985681680375,232.11528455957102,1247.2496083529354,4948.851405171583,0.7539857064321056,0.974436503573392,0.9851566794942276,1.0,701380.0,700065.3125,661800.0,659999.625,871120.0,874136.25
864691135782241616,L3IT,4070,46981,65.65929882452397,238.73225238650937,1133.6283779585237,3367.076669289697,0.7117936117936118,0.9798525798525799,0.9879606879606879,1.0,694404.0,699520.3125,581392.0,591223.9375,844560.0,849066.125
864691135784960307,L2IT,5479,69828,61.13960076129055,228.7686739218107,1147.9918206802608,4061.171408230789,0.7333455010038328,0.9786457382734075,0.9877714911480198,1.0,713936.0,713919.4375,516920.0,533929.40625,910040.0,912962.5625
864691135786943684,L6CT,2883,28547,72.48507389456121,254.28955953446487,1115.9974825557088,4251.28932694615,0.6749913284772806,0.9788414845646896,0.9882067291016302,1.0,766080.0,769435.0,874600.0,868915.25,918640.0,920359.0625
864691135801163874,L2IT,3977,49899,61.67613243792123,244.58799309893323,1260.0085080690699,4170.879239895236,0.7415137037968318,0.974352527030425,0.984158913754086,1.0,695192.0,689395.0,512288.0,513092.5625,877520.0,884955.1875
